"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt"
"imagine","v.","A1","想象","Imagine you can fly.","What do you like to imagine?"
"important","adj.","A1","重要的","Health is very important.","What is important to you?"
"improve","v.","A1","改善；提高","I want to improve my English.","How can you improve your skills?"
"in","prep., adv.","A1","在...里面","The book is in my bag.","What is in your pocket?"
"include","v.","A1","包括","The price includes breakfast.","What does your lunch include?"
"information","n.","A1","信息","I need more information.","Where do you get information?"
"interest","n., v.","A1","兴趣；使感兴趣","Music is my main interest.","What interests you most?"
"interested","adj.","A1","感兴趣的","I'm interested in science.","What are you interested in?"
"interesting","adj.","A1","有趣的","This book is very interesting.","What makes something interesting?"
"internet","n.","A1","互联网","I use the internet every day.","What do you do on the internet?"
"interview","n., v.","A1","面试；采访","I have a job interview tomorrow.","How do you prepare for an interview?"
"into","prep.","A1","进入","The cat jumped into the box.","What do you put into your bag?"
"introduce","v.","A1","介绍","Let me introduce my friend.","How do you introduce yourself?"
"island","n.","A1","岛屿","Japan is an island country.","What islands do you know?"
"it","pron.","A1","它","The dog is cute. It is brown.","When do you use 'it'?"
"its","det.","A1","它的","The cat licked its paw.","What is the difference between 'it's' and 'its'?"
"jacket","n.","A1","夹克","I wear a jacket when it's cold.","What color is your jacket?"
"January","n.","A1","一月","January is the first month.","What do you do in January?"
"jeans","n.","A1","牛仔裤","I like wearing blue jeans.","Do you prefer jeans or other pants?"
"job","n.","A1","工作","I have a new job.","What job do you want?"
"join","v.","A1","加入；参加","Would you like to join us?","What clubs did you join?"
"journey","n.","A1","旅程","The journey takes two hours.","What was your longest journey?"
"juice","n.","A1","果汁","I drink orange juice for breakfast.","What juice do you like best?"
"July","n.","A1","七月","July is very hot.","What do you do in July?"
"June","n.","A1","六月","School ends in June.","What happens in June?"
"just","adv.","A1","刚刚；只是","I just arrived home.","When do you use 'just'?"
"keep","v.","A1","保持；保留","Keep the change.","What do you keep in your room?"
"key","n., adj.","A1","钥匙；关键的","I lost my house key.","What do you use keys for?"
"kilometre","n.","A1","千米；公里","The school is two kilometres away.","How many kilometres do you walk daily?"
"kind (type)","n.","A1","种类","What kind of music do you like?","What kind of books do you read?"
"kitchen","n.","A1","厨房","I cook food in the kitchen.","What do you do in the kitchen?"
"know","v.","A1","知道；了解","I know your name.","What do you know about China?"
"land","n.","A1","土地；陆地","Farmers work on the land.","What animals live on land?"
"language","n.","A1","语言","English is an international language.","How many languages do you speak?"
"large","adj.","A1","大的","London is a large city.","What is large in your house?"
"last1 (final)","det.","A1","最后的","This is the last question.","What did you do last weekend?"
"late","adj., adv.","A1","晚的；迟的","I am late for school.","When are you usually late?"
"later","adv.","A1","后来；稍后","See you later!","What will you do later today?"
"laugh","v., n.","A1","笑","The joke made me laugh.","What makes you laugh?"
"learn","v.","A1","学习","I learn English every day.","What do you want to learn?"
"leave","v.","A1","离开","I leave home at 8 AM.","What time do you leave school?"
"left","adj., adv., n.","A1","左边的","Turn left at the corner.","What is on your left side?"
"leg","n.","A1","腿","I hurt my leg playing football.","How many legs does a chair have?"
"lesson","n.","A1","课程","The math lesson is difficult.","What is your favorite lesson?"
"let","v.","A1","让；允许","Let me help you.","When do parents let children play?"
"letter","n.","A1","信；字母","I wrote a letter to my friend.","How many letters are in the alphabet?"
"library","n.","A1","图书馆","I borrow books from the library.","How often do you visit the library?"
"lie1","v.","A1","躺；说谎","Don't lie to me.","Where do you lie down to rest?"
"life","n.","A1","生活；生命","Life is beautiful.","What do you love about life?"
"light (from the sun/a lamp)","n., adj.","A1","光；轻的","Turn on the light, please.","What gives us natural light?"
"like (similar)","prep.","A1","像","She looks like her mother.","Who do you look like?"
"like (find sb/sth pleasant)","v.","A1","喜欢","I like chocolate ice cream.","What food do you like most?"
"line","n.","A1","线；行","Please wait in line.","When do you stand in line?"
"lion","n.","A1","狮子","The lion is the king of animals.","Where do lions live?"
"list","n., v.","A1","清单；列出","Make a shopping list.","What is on your to-do list?"
"listen","v.","A1","听","Listen to the teacher.","What do you like to listen to?"
"little","adj., det./pron.","A1","小的；少的","The baby is very little.","What is the difference between 'little' and 'small'?"
"live1","v.","A1","居住；生活","I live in Beijing.","Where do you live?"
"local","adj.","A1","当地的","I shop at the local market.","What local food do you like?"
"long1","adj., adv.","A1","长的","She has long hair.","What is long in your room?"
"look","v.","A1","看","Look at this picture.","What do you look at every morning?"
"lose","v.","A1","丢失；失败","Don't lose your keys.","What do you often lose?"
"lot","pron., det., adv.","A1","许多","I have a lot of friends.","What do you do a lot?"
"love","n., v.","A1","爱；喜爱","I love my family.","What do you love doing?"
"lunch","n.","A1","午餐","I eat lunch at 12 o'clock.","What do you have for lunch?"
"machine","n.","A1","机器","This machine makes coffee.","What machines do you use daily?"
"magazine","n.","A1","杂志","I read a fashion magazine.","What magazines do you read?"
"main","adj.","A1","主要的","The main street is very busy.","What is the main problem?"
"make","v.","A1","制作；使","I make breakfast every morning.","What do you make for dinner?"
"man","n.","A1","男人","The man is wearing a suit.","What is the opposite of 'man'?"
"many","det./pron.","A1","许多","Many people like music.","How many books do you have?"
"map","n.","A1","地图","I use a map to find my way.","When do you use a map?"
"March","n.","A1","三月","Spring starts in March.","What happens in March?"
"market","n.","A1","市场","I buy vegetables at the market.","What do you buy at the market?"
"married","adj.","A1","已婚的","My sister is married.","What does it mean to be married?"
"match (contest/correspond)","n., v.","A1","比赛；匹配","The football match was exciting.","What sports matches do you watch?"
"May","n.","A1","五月","May is a beautiful month.","What do you do in May?"
"maybe","adv.","A1","也许","Maybe it will rain tomorrow.","When do you say 'maybe'?"
"me","pron.","A1","我（宾格）","Please help me.","When do you use 'me' instead of 'I'?"
"meal","n.","A1","一餐","Breakfast is my favorite meal.","What is your biggest meal of the day?"
"mean","v.","A1","意思是","What does this word mean?","What do you mean by that?"
"meaning","n.","A1","意思；含义","I don't understand the meaning.","What is the meaning of 'friend'?"
"meat","n.","A1","肉","I don't eat meat.","What meat do you like?"
"meet","v.","A1","见面；遇见","Nice to meet you!","Where do you meet your friends?"
"meeting","n.","A1","会议","I have a meeting at 2 PM.","What happens in a meeting?"
"member","n.","A1","成员","I am a member of the club.","What groups are you a member of?"
"menu","n.","A1","菜单","Can I see the menu, please?","What is on your favorite restaurant's menu?"
"message","n.","A1","消息；信息","I sent you a message.","How do you send messages?"
"metre","n.","A1","米","The table is one metre long.","How many metres tall are you?"
"midnight","n.","A1","午夜","The party ends at midnight.","What do you do at midnight?"
"mile","n.","A1","英里","The school is two miles away.","How many miles do you walk?"
"milk","n.","A1","牛奶","I drink milk every morning.","What do you eat with milk?"
"million","number","A1","百万","One million is a big number.","What costs a million dollars?"
"minute1","n.","A1","分钟","Wait a minute, please.","How many minutes are in an hour?"
"miss","v.","A1","想念；错过","I miss my family.","What do you miss most?"
"mistake","n.","A1","错误","I made a mistake.","What mistakes do you often make?"
"model","n.","A1","模型；模特","She is a fashion model.","What is a model airplane?"
"modern","adj.","A1","现代的","I like modern art.","What modern things do you use?"
"moment","n.","A1","时刻；片刻","Wait a moment, please.","What was your happiest moment?"
"Monday","n.","A1","星期一","I don't like Monday mornings.","What do you do on Monday?"
"money","n.","A1","钱","I need to save money.","What do you spend money on?"
"month","n.","A1","月","January is the first month.","What is your favorite month?"
"more","det./pron., adv.","A1","更多","I want more cake.","What do you want more of?"
"morning","n.","A1","早晨","Good morning!","What do you do every morning?"
"most","det./pron., adv.","A1","最多；大部分","Most people like holidays.","What do you do most often?"
"mother","n.","A1","母亲","My mother is a doctor.","What does your mother do?"
"mountain","n.","A1","山","The mountain is very high.","Have you ever climbed a mountain?"
"mouse","n.","A1","老鼠","The cat caught a mouse.","Are you afraid of mice?"
"mouth","n.","A1","嘴巴","Open your mouth, please.","What do you do with your mouth?"
"move","v.","A1","移动；搬家","Please move your chair.","When did you last move house?"
"movie","n.","A1","电影","Let's watch a movie tonight.","What movie do you want to see?"
"much","det./pron., adv.","A1","很多；非常","I don't have much time.","How much money do you have?"
"mum","n.","A1","妈妈","I love my mum.","What do you call your mum?"
"museum","n.","A1","博物馆","The museum has old paintings.","What museums have you visited?"
"music","n.","A1","音乐","I listen to music every day.","What music do you like?"
"must","modal v.","A1","必须","You must do your homework.","What must you do every day?"
"my","det.","A1","我的","This is my book.","What is in my bag?"
"name","n., v.","A1","名字；命名","What's your name?","How do you spell your name?"
"natural","adj.","A1","自然的","I like natural food.","What natural things do you see?"
"near","prep., adj., adv.","A1","在...附近","The school is near my house.","What is near your home?"
"need","v.","A1","需要","I need help with this.","What do you need to buy?"
"negative","adj.","A1","否定的；消极的","Don't be so negative.","What is the negative of 'yes'?"
"neighbour","n.","A1","邻居","My neighbour is very friendly.","Do you know your neighbours?"
"never","adv.","A1","从不","I never eat meat.","What do you never do?"
"new","adj.","A1","新的","I have a new phone.","What new things do you want?"
"news","n.","A1","新闻","I watch the news every evening.","Where do you get news?"
"newspaper","n.","A1","报纸","I read the newspaper every morning.","Do you still read newspapers?"
"next","adj., adv.","A1","下一个","Next week I'm going on holiday.","What are you doing next?"
"next to","prep.","A1","在...旁边","The bank is next to the post office.","What is next to your house?"
"nice","adj.","A1","好的；美好的","Have a nice day!","What was nice about today?"
"night","n.","A1","夜晚","Good night!","What do you do at night?"
"nine","number","A1","九","I have nine books.","What comes after nine?"
"nineteen","number","A1","十九","She is nineteen years old.","What is nineteen plus one?"
"ninety","number","A1","九十","My grandmother is ninety.","What is ninety minus ten?"
"no","exclam., det.","A1","不；没有","No, thank you.","When do you say 'no'?"
"no one","pron.","A1","没有人","No one was at home.","When is no one around?"
"nobody","pron.","A1","没有人","Nobody likes rainy days.","What does nobody want to do?"
"north","n., adj., adv.","A1","北方","Canada is north of the USA.","What is north of your city?"
"nose","n.","A1","鼻子","I can smell with my nose.","What do you use your nose for?"
"not","adv.","A1","不","I am not hungry.","When do you use 'not'?"
"note","n.","A1","笔记；便条","I wrote a note to remember.","What notes do you take?"
"nothing","pron.","A1","什么都没有","There's nothing in the box.","When do you have nothing to do?"
"November","n.","A1","十一月","November is cold.","What happens in November?"
"now","adv.","A1","现在","I am busy now.","What are you doing now?"
"number","n.","A1","数字；号码","What's your phone number?","What is your lucky number?"
"nurse","n.","A1","护士","The nurse helps the doctor.","What does a nurse do?"
"object","n.","A1","物体","What is this object?","What objects are on your desk?"
"o'clock","adv.","A1","...点钟","It's three o'clock.","What time is it o'clock?"
"October","n.","A1","十月","October has 31 days.","What do you do in October?"
"of","prep.","A1","...的","This is a photo of my family.","What are some uses of 'of'?"
"off","adv., prep.","A1","离开；关闭","Turn off the light.","When do you turn things off?"
"office","n.","A1","办公室","I work in an office.","What is in an office?"
"often","adv.","A1","经常","I often go to the cinema.","What do you often do?"
"oh","exclam.","A1","哦","Oh, I forgot my keys!","When do you say 'oh'?"
"OK","exclam., adj./adv.","A1","好的","OK, let's go.","When do you say 'OK'?"
"old","adj.","A1","老的；旧的","My grandfather is very old.","What old things do you have?"
"on","prep., adv.","A1","在...上面","The book is on the table.","What is on your desk right now?"
"once","adv.","A1","一次；曾经","I go swimming once a week.","What do you do once a day?"
"one","number/det., pron.","A1","一","I have one sister.","What is one plus one?"
"onion","n.","A1","洋葱","Onions make me cry.","Do you like onions?"
"online","adj., adv.","A1","在线的","I shop online.","What do you do online?"
"only","adj., adv.","A1","只有；仅仅","I have only one brother.","When do you use 'only'?"
"open","adj., v.","A1","开着的；打开","Please open the window.","What time do shops open?"
"opinion","n.","A1","意见；观点","What's your opinion about this?","Do you have a strong opinion?"
"opposite","adj., n., prep., adv.","A1","相反的；对面","The bank is opposite the school.","What is the opposite of 'hot'?"
"or","conj.","A1","或者","Do you want tea or coffee?","When do you use 'or'?"
"orange","n., adj.","A1","橙子；橙色的","I like orange juice.","What things are orange?"
"order","n., v.","A1","订购；命令","I want to order pizza.","What do you order at restaurants?"
"other","adj./pron.","A1","其他的","The other students are coming.","What other languages do you speak?"
"our","det.","A1","我们的","This is our house.","What is special about our school?"
"out","adv./prep.","A1","外面；出去","Let's go out for dinner.","What do you do when you go out?"
"outside","adv.","A1","在外面","It's cold outside.","What do you see outside your window?"
"over","prep., adv.","A1","在...上方；结束","The plane flies over the city.","When is your class over?"
"own","adj./pron.","A1","自己的","I have my own room.","What do you own?"
"page","n.","A1","页","Turn to page 10.","How many pages are in your book?"
"paint","v., n.","A1","油漆；画画","I paint pictures in art class.","What colors do you paint with?"
"painting","n.","A1","绘画；画作","This painting is beautiful.","What painting do you like?"
"pair","n.","A1","一对；一双","I need a new pair of shoes.","What things come in pairs?"
"paper","n.","A1","纸","I write on white paper.","What do you do with paper?"
"paragraph","n.","A1","段落","Write one paragraph about yourself.","How many sentences are in a paragraph?"
"parent","n.","A1","父母","My parents are teachers.","What do your parents do?"
"park","n., v.","A1","公园；停车","Children play in the park.","Where do you park your car?"
"part","n.","A1","部分","This is part of the story.","What part of the day do you like?"
"partner","n.","A1","伙伴；搭档","Work with your partner.","Who is your study partner?"
"party","n.","A1","聚会","I'm going to a birthday party.","What parties do you enjoy?"
"passport","n.","A1","护照","Show me your passport, please.","When do you need a passport?"
"past","adj., n., prep.","A1","过去的；经过","In the past, life was different.","What happened in the past?"
"pay","v.","A1","付钱","I pay for my coffee.","How do you pay for things?"
"pen","n.","A1","钢笔","I write with a pen.","What color pen do you use?"
"pencil","n.","A1","铅笔","Draw with a pencil first.","When do you use a pencil?"
"people","n.","A1","人们","Many people like music.","What people do you know?"
"pepper","n.","A1","胡椒；辣椒","Add some pepper to the soup.","Do you like black pepper?"
"perfect","adj.","A1","完美的","The weather is perfect today.","What is perfect in your life?"
"period","n.","A1","时期；句号","This is a difficult period.","What period of history interests you?"
"person","n.","A1","人","She is a nice person.","What kind of person are you?"
"personal","adj.","A1","个人的","This is my personal opinion.","What personal things do you have?"
"phone","n., v.","A1","电话；打电话","My phone is ringing.","Who do you phone most often?"
"photo","n.","A1","照片","I took a photo of my family.","What photos do you have?"
"photograph","n.","A1","照片；相片","This photograph is very old.","What is your favorite photograph?"
"phrase","n.","A1","短语","Learn this phrase by heart.","What phrases do you use often?"
"piano","n.","A1","钢琴","I can play the piano.","Do you like piano music?"
"picture","n.","A1","图片；画","Look at this picture.","What pictures are on your wall?"
"piece","n.","A1","片；块","Can I have a piece of cake?","What piece of advice do you need?"
"pig","n.","A1","猪","Pigs are intelligent animals.","What do pigs eat?"
"pink","adj., n.","A1","粉红色的","She likes pink flowers.","What things are pink?"
"place","n.","A1","地方","This is a beautiful place.","What is your favorite place?"
"plan","n., v.","A1","计划","What's your plan for tomorrow?","How do you plan your day?"
"plane","n.","A1","飞机","The plane is flying high.","Have you been on a plane?"
"plant","n.","A1","植物","This plant needs water.","What plants do you have?"
"play","v., n.","A1","玩；演奏","Children like to play.","What games do you play?"
"player","n.","A1","运动员；播放器","He is a good football player.","Who is your favorite player?"
"please","exclam.","A1","请","Please help me.","When do you say 'please'?"
"point","n.","A1","点；要点","What's the point of this?","Can you point to the answer?"
"police","n.","A1","警察","The police help people.","When do you call the police?"
"policeman","n.","A1","警察（男）","The policeman is very kind.","What does a policeman do?"
"pool","n.","A1","游泳池","I swim in the pool.","Do you have a pool?"
"poor","adj.","A1","贫穷的；可怜的","The poor man needs help.","What is the opposite of 'poor'?"
"popular","adj.","A1","受欢迎的","Pizza is very popular.","What music is popular now?"
"positive","adj.","A1","积极的；正面的","Try to be positive.","What positive things happened today?"
"possible","adj.","A1","可能的","Is it possible to finish today?","What is possible for you?"
"post","n., v.","A1","邮件；邮寄","I received a post today.","What do you post online?"
"potato","n.","A1","土豆","I like fried potatoes.","How do you cook potatoes?"
"pound","n.","A1","英镑；磅","This costs five pounds.","What countries use pounds?"
"practice","n.","A1","练习；实践","Practice makes perfect.","What needs more practice?"
"practise","v.","A1","练习","I practise piano every day.","What do you practise regularly?"
"prefer","v.","A1","更喜欢","I prefer tea to coffee.","What do you prefer to do?"
"prepare","v.","A1","准备","I prepare dinner every evening.","How do you prepare for exams?"
"present","adj., n.","A1","现在的；礼物","Here's a present for you.","What present do you want?"
"pretty","adj., adv.","A1","漂亮的；相当","She is very pretty.","What do you think is pretty?"
"price","n.","A1","价格","What's the price of this book?","What has a high price?"
"probably","adv.","A1","可能；大概","I'll probably come tomorrow.","What will probably happen?"
"problem","n.","A1","问题；困难","I have a problem.","What problems do you have?"
"product","n.","A1","产品","This is a new product.","What products do you buy?"
"programme","n.","A1","节目；程序","I watch this TV programme.","What programmes do you like?"
"project","n.","A1","项目；工程","We're working on a project.","What project are you doing?"
"purple","adj., n.","A1","紫色的","Purple is my favorite color.","What things are purple?"
"put","v.","A1","放；放置","Put the book on the table.","Where do you put your keys?"
"quarter","n.","A1","四分之一","It's a quarter past three.","What is a quarter of an hour?"
"question","n.","A1","问题","Can I ask a question?","What questions do you have?"
"quick","adj.","A1","快的","This is a quick way.","What can you do quick?"
"quickly","adv.","A1","快速地","Please come quickly.","What do you do quickly?"
"quiet","adj.","A1","安静的","Please be quiet.","When do you need quiet?"
"quite","adv.","A1","相当；完全","The food is quite good.","What is quite difficult for you?"
"radio","n.","A1","收音机","I listen to the radio.","What do you hear on the radio?"
"rain","n., v.","A1","雨；下雨","It's going to rain today.","Do you like walking in the rain?"
"read","v.","A1","读","I read books every night.","What do you like to read?"
"reader","n.","A1","读者","She is a good reader.","Are you a fast reader?"
"reading","n.","A1","阅读","Reading is my hobby.","What reading do you do?"
"ready","adj.","A1","准备好的","Are you ready to go?","When are you ready for school?"
"real","adj.","A1","真实的","This is a real diamond.","What is real happiness for you?"
"really","adv.","A1","真的；非常","I really like this song.","What do you really want?"
"reason","n.","A1","原因","What's the reason for this?","What is the reason you study English?"
"red","adj., n.","A1","红色的","I have a red car.","What things are red?"
"relax","v.","A1","放松","I like to relax at home.","How do you relax?"
"remember","v.","A1","记住","I remember your name.","What do you remember from childhood?"
"repeat","v.","A1","重复","Please repeat that.","What do you repeat every day?"
"report","n.","A1","报告","I wrote a report about animals.","What reports do you write?"
"restaurant","n.","A1","餐厅","This restaurant has good food.","What is your favorite restaurant?"
"result","n.","A1","结果","What was the result of the game?","What results do you expect?"
"return","v., n.","A1","返回","I will return home tomorrow.","When do you return from vacation?"
"rice","n.","A1","米饭","I eat rice with dinner.","Do you eat rice every day?"
"rich","adj.","A1","富有的","The rich man has many cars.","What makes someone rich?"
"ride","v.","A1","骑；乘坐","I ride my bike to school.","What do you like to ride?"
"right","adj., adv., n.","A1","正确的；右边","Turn right at the corner.","What is on your right side?"
"river","n.","A1","河流","The river is very long.","What rivers do you know?"
"road","n.","A1","道路","This road goes to the city.","What road do you live on?"
"room","n.","A1","房间","My room is small.","What is in your room?"
"routine","n.","A1","例行公事","I have a morning routine.","What is your daily routine?"
"rule","n.","A1","规则","Follow the school rules.","What rules do you follow?"
"run","v.","A1","跑","I run in the park.","How fast can you run?"
"sad","adj.","A1","伤心的","I feel sad today.","What makes you sad?"
"salad","n.","A1","沙拉","I eat salad for lunch.","What salad do you like?"
"salt","n.","A1","盐","Add salt to the soup.","Do you use much salt?"
"same","adj., pron., adv.","A1","相同的","We have the same book.","What is the same about us?"
"sandwich","n.","A1","三明治","I made a cheese sandwich.","What sandwich do you like?"
"Saturday","n.","A1","星期六","I don't work on Saturday.","What do you do on Saturday?"
"say","v.","A1","说","What did you say?","What do you say when you meet someone?"
"school","n.","A1","学校","I go to school every day.","What do you like about school?"
"science","n.","A1","科学","Science is interesting.","What science subjects do you study?"
"scientist","n.","A1","科学家","The scientist works in a lab.","What do scientists do?"
"sea","n.","A1","海","The sea is blue.","Have you ever seen the sea?"
"second1 (next after the first)","det./number","A1","第二","This is my second cup of coffee.","What comes second in your priorities?"
"section","n.","A1","部分；章节","Read section three.","What section of the newspaper do you read?"
"see","v.","A1","看见","I can see the mountain.","What can you see from your window?"
"sell","v.","A1","卖","They sell fresh fruit.","What do you want to sell?"
"send","v.","A1","发送","Please send me an email.","What do you send to friends?"
"sentence","n.","A1","句子","Write a sentence about yourself.","How many words are in this sentence?"
"September","n.","A1","九月","School starts in September.","What happens in September?"
"seven","number","A1","七","I have seven books.","What comes after seven?"
"seventeen","number","A1","十七","My sister is seventeen.","What is seventeen minus seven?"
"seventy","number","A1","七十","My teacher is seventy years old.","What is seventy divided by seven?"
"share","v.","A1","分享","Let's share the pizza.","What do you like to share?"
"she","pron.","A1","她","She is my friend.","When do you use 'she'?"
"sheep","n.","A1","绵羊","Sheep give us wool.","What do sheep eat?"
"shirt","n.","A1","衬衫","I wear a white shirt.","What color shirt do you like?"
"shoe","n.","A1","鞋","I need new shoes.","What shoes do you wear?"
"shop","n., v.","A1","商店；购物","I shop for food.","Where do you shop?"
"shopping","n.","A1","购物","I go shopping on weekends.","What shopping do you enjoy?"
"short","adj.","A1","短的；矮的","She has short hair.","What is the opposite of 'short'?"
"should","modal v.","A1","应该","You should study hard.","What should you do today?"
"show","v., n.","A1","显示；表演","Show me your photo.","What TV show do you watch?"
"shower","n.","A1","淋浴","I take a shower every morning.","How long is your shower?"
"sick","adj.","A1","生病的","I feel sick today.","What do you do when you're sick?"
"similar","adj.","A1","相似的","Our houses are similar.","What is similar about twins?"
"sing","v.","A1","唱歌","I like to sing in the shower.","What songs do you sing?"
"singer","n.","A1","歌手","She is a famous singer.","Who is your favorite singer?"
"sister","n.","A1","姐妹","My sister is younger than me.","Do you have a sister?"
"sit","v.","A1","坐","Please sit down.","Where do you like to sit?"
"situation","n.","A1","情况","This is a difficult situation.","What situation makes you nervous?"
"six","number","A1","六","I wake up at six o'clock.","What comes before six?"
"sixteen","number","A1","十六","I learned to drive at sixteen.","What is sixteen plus four?"
"sixty","number","A1","六十","My father is sixty years old.","What is sixty minus ten?"
"skill","n.","A1","技能","Reading is an important skill.","What skill do you want to learn?"
"skirt","n.","A1","裙子","She wears a long skirt.","Do you prefer skirts or pants?"
"sleep","v.","A1","睡觉","I sleep eight hours.","What time do you go to sleep?"
"slow","adj.","A1","慢的","The old car is slow.","What is the opposite of 'slow'?"
"small","adj.","A1","小的","I live in a small house.","What small things do you collect?"
"snake","n.","A1","蛇","Snakes don't have legs.","Are you afraid of snakes?"
"snow","n., v.","A1","雪；下雪","It's going to snow tonight.","Do you like playing in snow?"
"so","adv., conj.","A1","所以；如此","It's raining, so I'll stay home.","When do you use 'so'?"
"some","det., pron.","A1","一些","I want some water.","When do you use 'some'?"
"somebody","pron.","A1","某人","Somebody is at the door.","What is the difference between 'somebody' and 'someone'?"
"someone","pron.","A1","某人","Someone called you.","Who is someone you admire?"
"something","pron.","A1","某事","I have something for you.","What is something you want?"
"sometimes","adv.","A1","有时","Sometimes I walk to work.","What do you sometimes forget?"
"son","n.","A1","儿子","He is my son.","Do you want to have a son?"
"song","n.","A1","歌曲","This is my favorite song.","What song makes you happy?"
"soon","adv.","A1","很快","I will see you soon.","What will happen soon?"
"sorry","adj., exclam.","A1","对不起的","I'm sorry I'm late.","When do you say 'sorry'?"
"sound","n., v.","A1","声音；听起来","I hear a strange sound.","What sounds do you like?"
"soup","n.","A1","汤","I made chicken soup.","What soup do you like?"
"south","n., adj., adv.","A1","南方","Birds fly south in winter.","What is south of your city?"
"space","n.","A1","空间；太空","We need more space.","What do you know about space?"
"speak","v.","A1","说话","I speak English and Chinese.","What languages do you speak?"
"special","adj.","A1","特别的","Today is a special day.","What makes something special?"
"spell","v.","A1","拼写","How do you spell your name?","What words are difficult to spell?"
"spelling","n.","A1","拼写","Check your spelling.","Is your spelling good?"
"spend","v.","A1","花费","I spend money on books.","What do you spend time on?"
"sport","n.","A1","运动","Football is my favorite sport.","What sport do you play?"
"spring","n.","A1","春天","Flowers bloom in spring.","What do you do in spring?"
"stand","v.","A1","站立","Please stand up.","How long can you stand?"
"star","n.","A1","星星","I can see many stars tonight.","What do you know about stars?"
"start","v.","A1","开始","Let's start the lesson.","When do you start work?"
"statement","n.","A1","陈述；声明","Make a true statement.","What is a statement?"
"station","n.","A1","车站","The train station is busy.","What station do you use?"
"stay","v.","A1","停留","I want to stay home.","Where do you like to stay?"
"still","adv.","A1","仍然","I'm still learning English.","What are you still doing?"
"stop","v., n.","A1","停止","Stop talking, please.","When do buses stop?"
"story","n.","A1","故事","Tell me a story.","What is your favorite story?"
"street","n.","A1","街道","I live on this street.","What street do you live on?"
"strong","adj.","A1","强壮的","He is very strong.","What makes you strong?"
"student","n.","A1","学生","I am a student.","What kind of student are you?"
"study","n., v.","A1","学习；研究","I study English every day.","What do you study?"
"style","n.","A1","风格；样式","I like your style.","What style of clothes do you like?"
"subject","n.","A1","科目；主题","Math is my favorite subject.","What subject is difficult for you?"
"success","n.","A1","成功","Hard work leads to success.","What is success for you?"
"sugar","n.","A1","糖","I don't eat much sugar.","Do you like sugar in coffee?"
"summer","n.","A1","夏天","Summer is hot.","What do you do in summer?"
"sun","n.","A1","太阳","The sun is bright.","What time does the sun rise?"
"Sunday","n.","A1","星期日","I relax on Sunday.","What do you do on Sunday?"
"supermarket","n.","A1","超市","I shop at the supermarket.","What do you buy at the supermarket?"
"sure","adj.","A1","确定的","Are you sure about this?","When are you not sure?"
"sweater","n.","A1","毛衣","I wear a sweater in winter.","What color sweater do you have?"
"swim","v.","A1","游泳","I can swim very well.","Where do you swim?"
"swimming","n.","A1","游泳","Swimming is good exercise.","Do you enjoy swimming?"
"table","n.","A1","桌子","Put the book on the table.","What is on your table?"
"take","v.","A1","拿；带走","Take this book home.","What do you take to school?"
"talk","v.","A1","说话","I like to talk with friends.","Who do you talk to most?"
"tall","adj.","A1","高的","He is very tall.","How tall are you?"
"taxi","n.","A1","出租车","I need to call a taxi.","When do you take a taxi?"
"tea","n.","A1","茶","I drink tea every morning.","What tea do you like?"
"teach","v.","A1","教","I teach English.","What would you like to teach?"
"teacher","n.","A1","老师","My teacher is very kind.","What makes a good teacher?"
"team","n.","A1","团队","Our team won the game.","What team do you support?"
"teenager","n.","A1","青少年","My brother is a teenager.","What do teenagers like?"
"telephone","n., v.","A1","电话","The telephone is ringing.","Who do you telephone often?"
"television","n.","A1","电视","I watch television at night.","What do you watch on television?"
"tell","v.","A1","告诉","Tell me your name.","What do you tell your friends?"
"ten","number","A1","十","I have ten fingers.","What comes after ten?"
"tennis","n.","A1","网球","I play tennis on weekends.","Do you like tennis?"
"terrible","adj.","A1","糟糕的","The weather is terrible.","What is terrible for you?"
"test","n., v.","A1","测试；考试","I have a test tomorrow.","How do you prepare for tests?"
"text","n.","A1","文本；短信","Send me a text message.","What text do you read?"
"than","conj.","A1","比","I am taller than you.","When do you use 'than'?"
"thank","v.","A1","感谢","Thank you for your help.","Who do you thank often?"
"thanks","exclam., n.","A1","谢谢","Thanks for the gift.","When do you say thanks?"
"that","det., pron., conj.","A1","那个","That book is interesting.","When do you use 'that'?"
"the","definite article","A1","这个；那个","The sun is shining.","When do you use 'the'?"
"theatre","n.","A1","剧院","We went to the theatre.","What do you see at the theatre?"
"their","det.","A1","他们的","This is their house.","When do you use 'their'?"
"them","pron.","A1","他们（宾格）","I gave the books to them.","When do you use 'them'?"
"then","adv.","A1","然后","First eat, then sleep.","What do you do then?"
"there","adv.","A1","那里","Put the book there.","What is there in your bag?"
"they","pron.","A1","他们","They are my friends.","When do you use 'they'?"
"thing","n.","A1","东西","What is this thing?","What thing do you need?"
"think","v.","A1","想；认为","I think you're right.","What do you think about?"
"third","number","A1","第三","This is my third cup.","What is the third month?"
"thirsty","adj.","A1","渴的","I'm very thirsty.","What do you drink when thirsty?"
"thirteen","number","A1","十三","She is thirteen years old.","What is thirteen plus seven?"
"thirty","number","A1","三十","I wake up at half past thirty.","What is thirty divided by three?"
"this","det./pron.","A1","这个","This is my book.","When do you use 'this'?"
"thousand","number","A1","一千","There are a thousand people.","What costs a thousand dollars?"
"three","number","A1","三","I have three cats.","What comes before three?"
