"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt","Theme"
"happy","adj.","A1","快乐的","I am very happy today.","What makes you happy?","Emotions"
"hard","adj., adv.","A1","硬的；困难的","This math problem is hard.","What is hard for you to do?","Emotions"
"hat","n.","A1","帽子","I wear a hat in the sun.","When do you wear a hat?","Clothing"
"hate","v.","A1","讨厌","I hate getting up early.","What do you hate doing?","Emotions"
"have","v.","A1","有","I have two brothers.","What do you have in your bag?","Grammar"
"have to","modal v.","A1","必须","I have to go to school.","What do you have to do every day?","Grammar"
"he","pron.","A1","他","He is my brother.","When do you use 'he'?","Grammar"
"head","n.","A1","头","I have a headache.","What do you put on your head?","Body"
"health","n.","A1","健康","Exercise is good for your health.","How do you keep good health?","Body"
"healthy","adj.","A1","健康的","Vegetables are healthy food.","What healthy food do you eat?","Body"
"hear","v.","A1","听见","I can hear music.","What can you hear right now?","Body"
"hello","exclam./n.","A1","你好","Hello! How are you?","When do you say hello?","Daily Life"
"help","v., n.","A1","帮助","Can you help me?","Who do you help at home?","Actions"
"her","pron., det.","A1","她的；她","This is her book.","When do you use 'her'?","Grammar"
"here","adv.","A1","这里","Come here, please.","What is here in this room?","Position"
"hey","exclam.","A1","嘿","Hey! Wait for me!","When do you say 'hey'?","Daily Life"
"hi","exclam.","A1","嗨","Hi! Nice to meet you.","Is 'hi' the same as 'hello'?","Daily Life"
"high","adj.","A1","高的","The mountain is very high.","What is high in your city?","Position"
"him","pron.","A1","他","I gave the book to him.","When do you use 'him' instead of 'he'?","Grammar"
"his","det.","A1","他的","This is his car.","What is his favorite color?","Grammar"
"history","n.","A1","历史","I study Chinese history.","What period of history interests you?","Education"
"hobby","n.","A1","爱好","Reading is my hobby.","What is your favorite hobby?","Daily Life"
"holiday","n.","A1","假期","Summer holiday is coming.","What do you do during holidays?","Time"
"home","n., adv.","A1","家；回家","I go home after school.","What time do you get home?","Home"
"homework","n.","A1","家庭作业","I do my homework after school.","When do you do your homework?","Education"
"hope","v.","A1","希望","I hope you feel better soon.","What do you hope for in the future?","Emotions"
"horse","n.","A1","马","The horse runs very fast.","Have you ever ridden a horse?","Animals"
"hospital","n.","A1","医院","The hospital is near my house.","When do people go to hospital?","Places"
"hot","adj.","A1","热的","Today is very hot.","What do you do when it's hot?","Weather"
"hotel","n.","A1","酒店","We stayed at a nice hotel.","What do you expect from a good hotel?","Places"
"hour","n.","A1","小时","The meeting lasts one hour.","How many hours do you sleep?","Time"
"house","n.","A1","房子","I live in a big house.","How many rooms are in your house?","Home"
"how","adv.","A1","如何；怎样","How are you today?","How do you ask for help?","Grammar"
"however","adv.","A1","然而","It's raining; however, I'll go out.","When do you use 'however'?","Grammar"
"hundred","number","A1","一百","There are one hundred students.","What is one hundred minus fifty?","Numbers"
"hungry","adj.","A1","饿的","I am very hungry.","What do you eat when you're hungry?","Body"
"husband","n.","A1","丈夫","Her husband is a teacher.","What does a good husband do?","Family"
"I","pron.","A1","我","I like to read books.","When do you use 'I' in sentences?","Grammar"
"ice","n.","A1","冰","The ice is very cold.","What do you do with ice?","Weather"
"ice cream","n.","A1","冰淇淋","I love chocolate ice cream.","What is your favorite ice cream flavor?","Food & Drink"
"idea","n.","A1","想法；主意","That's a great idea!","What gives you new ideas?","Education"
"if","conj.","A1","如果","If it rains, I'll stay home.","When do you use 'if'?","Grammar"
"imagine","v.","A1","想象","Imagine you can fly.","What do you like to imagine?","Actions"
"important","adj.","A1","重要的","Health is very important.","What is important to you?","Emotions"
"improve","v.","A1","改善；提高","I want to improve my English.","How can you improve your skills?","Actions"
"in","prep., adv.","A1","在...里面","The book is in my bag.","What is in your pocket?","Position"
"include","v.","A1","包括","The price includes breakfast.","What does your lunch include?","Actions"
"information","n.","A1","信息","I need more information.","Where do you get information?","Education"
"interest","n., v.","A1","兴趣；使感兴趣","Music is my main interest.","What interests you most?","Emotions"
"interested","adj.","A1","感兴趣的","I'm interested in science.","What are you interested in?","Emotions"
"interesting","adj.","A1","有趣的","This book is very interesting.","What makes something interesting?","Emotions"
"internet","n.","A1","互联网","I use the internet every day.","What do you do on the internet?","Technology"
"interview","n., v.","A1","面试；采访","I have a job interview tomorrow.","How do you prepare for an interview?","Work"
"into","prep.","A1","进入","The cat jumped into the box.","What do you put into your bag?","Position"
"introduce","v.","A1","介绍","Let me introduce my friend.","How do you introduce yourself?","Actions"
"island","n.","A1","岛屿","Japan is an island country.","What islands do you know?","Places"
"it","pron.","A1","它","The dog is cute. It is brown.","When do you use 'it'?","Grammar"
"its","det.","A1","它的","The cat licked its paw.","What is the difference between 'it's' and 'its'?","Grammar"
"jacket","n.","A1","夹克","I wear a jacket when it's cold.","What color is your jacket?","Clothing"
"January","n.","A1","一月","January is the first month.","What do you do in January?","Time"
"jeans","n.","A1","牛仔裤","I like wearing blue jeans.","Do you prefer jeans or other pants?","Clothing"
"job","n.","A1","工作","I have a new job.","What job do you want?","Work"
"join","v.","A1","加入；参加","Would you like to join us?","What clubs did you join?","Actions"
"journey","n.","A1","旅程","The journey takes two hours.","What was your longest journey?","Transportation"
"juice","n.","A1","果汁","I drink orange juice for breakfast.","What juice do you like best?","Food & Drink"
"July","n.","A1","七月","July is very hot.","What do you do in July?","Time"
"June","n.","A1","六月","School ends in June.","What happens in June?","Time"
"just","adv.","A1","刚刚；只是","I just arrived home.","When do you use 'just'?","Time"
"keep","v.","A1","保持；保留","Keep the change.","What do you keep in your room?","Actions"
"key","n., adj.","A1","钥匙；关键的","I lost my house key.","What do you use keys for?","Daily Life"
"kilometre","n.","A1","千米；公里","The school is two kilometres away.","How many kilometres do you walk daily?","Numbers"
"kind (type)","n.","A1","种类","What kind of music do you like?","What kind of books do you read?","Grammar"
"kitchen","n.","A1","厨房","I cook food in the kitchen.","What do you do in the kitchen?","Home"
"know","v.","A1","知道；了解","I know your name.","What do you know about China?","Actions"
"land","n.","A1","土地；陆地","Farmers work on the land.","What animals live on land?","Places"
"language","n.","A1","语言","English is an international language.","How many languages do you speak?","Education"
"large","adj.","A1","大的","London is a large city.","What is large in your house?","Emotions"
"last1 (final)","det.","A1","最后的","This is the last question.","What did you do last weekend?","Time"
"late","adj., adv.","A1","晚的；迟的","I am late for school.","When are you usually late?","Time"
"later","adv.","A1","后来；稍后","See you later!","What will you do later today?","Time"
"laugh","v., n.","A1","笑","The joke made me laugh.","What makes you laugh?","Emotions"
"learn","v.","A1","学习","I learn English every day.","What do you want to learn?","Education"
"leave","v.","A1","离开","I leave home at 8 AM.","What time do you leave school?","Actions"
"left","adj., adv., n.","A1","左边的","Turn left at the corner.","What is on your left side?","Position"
"leg","n.","A1","腿","I hurt my leg playing football.","How many legs does a chair have?","Body"
"lesson","n.","A1","课程","The math lesson is difficult.","What is your favorite lesson?","Education"
"let","v.","A1","让；允许","Let me help you.","When do parents let children play?","Actions"
"letter","n.","A1","信；字母","I wrote a letter to my friend.","How many letters are in the alphabet?","Education"
"library","n.","A1","图书馆","I borrow books from the library.","How often do you visit the library?","Places"
"lie1","v.","A1","躺；说谎","Don't lie to me.","Where do you lie down to rest?","Actions"
"life","n.","A1","生活；生命","Life is beautiful.","What do you love about life?","Daily Life"
"light (from the sun/a lamp)","n., adj.","A1","光；轻的","Turn on the light, please.","What gives us natural light?","Daily Life"
"like (similar)","prep.","A1","像","She looks like her mother.","Who do you look like?","Grammar"
"like (find sb/sth pleasant)","v.","A1","喜欢","I like chocolate ice cream.","What food do you like most?","Emotions"
"line","n.","A1","线；行","Please wait in line.","When do you stand in line?","Position"
"lion","n.","A1","狮子","The lion is the king of animals.","Where do lions live?","Animals"
"list","n., v.","A1","清单；列出","Make a shopping list.","What is on your to-do list?","Daily Life"
"listen","v.","A1","听","Listen to the teacher.","What do you like to listen to?","Actions"
"little","adj., det./pron.","A1","小的；少的","The baby is very little.","What is the difference between 'little' and 'small'?","Emotions"
"live1","v.","A1","居住；生活","I live in Beijing.","Where do you live?","Daily Life"
"local","adj.","A1","当地的","I shop at the local market.","What local food do you like?","Places"
"long1","adj., adv.","A1","长的","She has long hair.","What is long in your room?","Emotions"
"look","v.","A1","看","Look at this picture.","What do you look at every morning?","Actions"
"lose","v.","A1","丢失；失败","Don't lose your keys.","What do you often lose?","Actions"
"lot","pron., det., adv.","A1","许多","I have a lot of friends.","What do you do a lot?","Grammar"
"love","n., v.","A1","爱；喜爱","I love my family.","What do you love doing?","Emotions"
"lunch","n.","A1","午餐","I eat lunch at 12 o'clock.","What do you have for lunch?","Food & Drink"
"machine","n.","A1","机器","This machine makes coffee.","What machines do you use daily?","Technology"
"magazine","n.","A1","杂志","I read a fashion magazine.","What magazines do you read?","Education"
"main","adj.","A1","主要的","The main street is very busy.","What is the main problem?","Emotions"
"make","v.","A1","制作；使","I make breakfast every morning.","What do you make for dinner?","Actions"
"man","n.","A1","男人","The man is wearing a suit.","What is the opposite of 'man'?","Family"
"many","det./pron.","A1","许多","Many people like music.","How many books do you have?","Grammar"
"map","n.","A1","地图","I use a map to find my way.","When do you use a map?","Technology"
"March","n.","A1","三月","Spring starts in March.","What happens in March?","Time"
"market","n.","A1","市场","I buy vegetables at the market.","What do you buy at the market?","Places"
"married","adj.","A1","已婚的","My sister is married.","What does it mean to be married?","Family"
"match (contest/correspond)","n., v.","A1","比赛；匹配","The football match was exciting.","What sports matches do you watch?","Sports"
"May","n.","A1","五月","May is a beautiful month.","What do you do in May?","Time"
"maybe","adv.","A1","也许","Maybe it will rain tomorrow.","When do you say 'maybe'?","Grammar"
"me","pron.","A1","我（宾格）","Please help me.","When do you use 'me' instead of 'I'?","Grammar"
"meal","n.","A1","一餐","Breakfast is my favorite meal.","What is your biggest meal of the day?","Food & Drink"
"mean","v.","A1","意思是","What does this word mean?","What do you mean by that?","Actions"
"meaning","n.","A1","意思；含义","I don't understand the meaning.","What is the meaning of 'friend'?","Education"
"meat","n.","A1","肉","I don't eat meat.","What meat do you like?","Food & Drink"
"meet","v.","A1","见面；遇见","Nice to meet you!","Where do you meet your friends?","Actions"
"meeting","n.","A1","会议","I have a meeting at 2 PM.","What happens in a meeting?","Work"
"member","n.","A1","成员","I am a member of the club.","What groups are you a member of?","Daily Life"
"menu","n.","A1","菜单","Can I see the menu, please?","What is on your favorite restaurant's menu?","Food & Drink"
"message","n.","A1","消息；信息","I sent you a message.","How do you send messages?","Technology"
"metre","n.","A1","米","The table is one metre long.","How many metres tall are you?","Numbers"
"midnight","n.","A1","午夜","The party ends at midnight.","What do you do at midnight?","Time"
"mile","n.","A1","英里","The school is two miles away.","How many miles do you walk?","Numbers"
"milk","n.","A1","牛奶","I drink milk every morning.","What do you eat with milk?","Food & Drink"
"million","number","A1","百万","One million is a big number.","What costs a million dollars?","Numbers"
"minute1","n.","A1","分钟","Wait a minute, please.","How many minutes are in an hour?","Time"
"miss","v.","A1","想念；错过","I miss my family.","What do you miss most?","Emotions"
"mistake","n.","A1","错误","I made a mistake.","What mistakes do you often make?","Education"
"model","n.","A1","模型；模特","She is a fashion model.","What is a model airplane?","Work"
"modern","adj.","A1","现代的","I like modern art.","What modern things do you use?","Time"
"moment","n.","A1","时刻；片刻","Wait a moment, please.","What was your happiest moment?","Time"
"Monday","n.","A1","星期一","I don't like Monday mornings.","What do you do on Monday?","Time"
"money","n.","A1","钱","I need to save money.","What do you spend money on?","Shopping"
"month","n.","A1","月","January is the first month.","What is your favorite month?","Time"
"more","det./pron., adv.","A1","更多","I want more cake.","What do you want more of?","Grammar"
"morning","n.","A1","早晨","Good morning!","What do you do every morning?","Time"
"most","det./pron., adv.","A1","最多；大部分","Most people like holidays.","What do you do most often?","Grammar"
"mother","n.","A1","母亲","My mother is a doctor.","What does your mother do?","Family"
"mountain","n.","A1","山","The mountain is very high.","Have you ever climbed a mountain?","Places"
"mouse","n.","A1","老鼠","The cat caught a mouse.","Are you afraid of mice?","Animals"
"mouth","n.","A1","嘴巴","Open your mouth, please.","What do you do with your mouth?","Body"
"move","v.","A1","移动；搬家","Please move your chair.","When did you last move house?","Actions"
"movie","n.","A1","电影","Let's watch a movie tonight.","What movie do you want to see?","Education"
"much","det./pron., adv.","A1","很多；非常","I don't have much time.","How much money do you have?","Grammar"
"mum","n.","A1","妈妈","I love my mum.","What do you call your mum?","Family"
"museum","n.","A1","博物馆","The museum has old paintings.","What museums have you visited?","Places"
"music","n.","A1","音乐","I listen to music every day.","What music do you like?","Education"
"must","modal v.","A1","必须","You must do your homework.","What must you do every day?","Grammar"
"my","det.","A1","我的","This is my book.","What is in my bag?","Grammar"
"name","n., v.","A1","名字；命名","What's your name?","How do you spell your name?","Daily Life"
"natural","adj.","A1","自然的","I like natural food.","What natural things do you see?","Weather"
"near","prep., adj., adv.","A1","在...附近","The school is near my house.","What is near your home?","Position"
"need","v.","A1","需要","I need help with this.","What do you need to buy?","Actions"
"negative","adj.","A1","否定的；消极的","Don't be so negative.","What is the negative of 'yes'?","Emotions"
"neighbour","n.","A1","邻居","My neighbour is very friendly.","Do you know your neighbours?","Family"
"never","adv.","A1","从不","I never eat meat.","What do you never do?","Time"
"new","adj.","A1","新的","I have a new phone.","What new things do you want?","Time"
"news","n.","A1","新闻","I watch the news every evening.","Where do you get news?","Education"
"newspaper","n.","A1","报纸","I read the newspaper every morning.","Do you still read newspapers?","Education"
"next","adj., adv.","A1","下一个","Next week I'm going on holiday.","What are you doing next?","Time"
"next to","prep.","A1","在...旁边","The bank is next to the post office.","What is next to your house?","Position"
"nice","adj.","A1","好的；美好的","Have a nice day!","What was nice about today?","Emotions"
"night","n.","A1","夜晚","Good night!","What do you do at night?","Time"
"nine","number","A1","九","I have nine books.","What comes after nine?","Numbers"
"nineteen","number","A1","十九","She is nineteen years old.","What is nineteen plus one?","Numbers"
"ninety","number","A1","九十","My grandmother is ninety.","What is ninety minus ten?","Numbers"
"no","exclam., det.","A1","不；没有","No, thank you.","When do you say 'no'?","Grammar"
"no one","pron.","A1","没有人","No one was at home.","When is no one around?","Grammar"
"nobody","pron.","A1","没有人","Nobody likes rainy days.","What does nobody want to do?","Grammar"
"north","n., adj., adv.","A1","北方","Canada is north of the USA.","What is north of your city?","Position"
"nose","n.","A1","鼻子","I can smell with my nose.","What do you use your nose for?","Body"
"not","adv.","A1","不","I am not hungry.","When do you use 'not'?","Grammar"
"note","n.","A1","笔记；便条","I wrote a note to remember.","What notes do you take?","Education"
"nothing","pron.","A1","什么都没有","There's nothing in the box.","When do you have nothing to do?","Grammar"
"November","n.","A1","十一月","November is cold.","What happens in November?","Time"
"now","adv.","A1","现在","I am busy now.","What are you doing now?","Time"
"number","n.","A1","数字；号码","What's your phone number?","What is your lucky number?","Numbers"
"nurse","n.","A1","护士","The nurse helps the doctor.","What does a nurse do?","Work"
"object","n.","A1","物体","What is this object?","What objects are on your desk?","Daily Life"
"o'clock","adv.","A1","...点钟","It's three o'clock.","What time is it o'clock?","Time"
"October","n.","A1","十月","October has 31 days.","What do you do in October?","Time"
"of","prep.","A1","...的","This is a photo of my family.","What are some uses of 'of'?","Grammar"
"off","adv., prep.","A1","离开；关闭","Turn off the light.","When do you turn things off?","Actions"
"office","n.","A1","办公室","I work in an office.","What is in an office?","Places"
"often","adv.","A1","经常","I often go to the cinema.","What do you often do?","Time"
"oh","exclam.","A1","哦","Oh, I forgot my keys!","When do you say 'oh'?","Daily Life"
"OK","exclam., adj./adv.","A1","好的","OK, let's go.","When do you say 'OK'?","Daily Life"
"old","adj.","A1","老的；旧的","My grandfather is very old.","What old things do you have?","Time"
"on","prep., adv.","A1","在...上面","The book is on the table.","What is on your desk right now?","Position"
"once","adv.","A1","一次；曾经","I go swimming once a week.","What do you do once a day?","Time"
"one","number/det., pron.","A1","一","I have one sister.","What is one plus one?","Numbers"
"onion","n.","A1","洋葱","Onions make me cry.","Do you like onions?","Food & Drink"
"online","adj., adv.","A1","在线的","I shop online.","What do you do online?","Technology"
"only","adj., adv.","A1","只有；仅仅","I have only one brother.","When do you use 'only'?","Grammar"
"open","adj., v.","A1","开着的；打开","Please open the window.","What time do shops open?","Actions"
"opinion","n.","A1","意见；观点","What's your opinion about this?","Do you have a strong opinion?","Education"
"opposite","adj., n., prep., adv.","A1","相反的；对面","The bank is opposite the school.","What is the opposite of 'hot'?","Position"
"or","conj.","A1","或者","Do you want tea or coffee?","When do you use 'or'?","Grammar"
"orange","n., adj.","A1","橙子；橙色的","I like orange juice.","What things are orange?","Food & Drink"
"order","n., v.","A1","订购；命令","I want to order pizza.","What do you order at restaurants?","Shopping"
"other","adj./pron.","A1","其他的","The other students are coming.","What other languages do you speak?","Grammar"
"our","det.","A1","我们的","This is our house.","What is special about our school?","Grammar"
"out","adv./prep.","A1","外面；出去","Let's go out for dinner.","What do you do when you go out?","Position"
"outside","adv.","A1","在外面","It's cold outside.","What do you see outside your window?","Position"
"over","prep., adv.","A1","在...上方；结束","The plane flies over the city.","When is your class over?","Position"
"own","adj./pron.","A1","自己的","I have my own room.","What do you own?","Grammar"
"page","n.","A1","页","Turn to page 10.","How many pages are in your book?","Education"
"paint","v., n.","A1","油漆；画画","I paint pictures in art class.","What colors do you paint with?","Education"
"painting","n.","A1","绘画；画作","This painting is beautiful.","What painting do you like?","Education"
"pair","n.","A1","一对；一双","I need a new pair of shoes.","What things come in pairs?","Numbers"
"paper","n.","A1","纸","I write on white paper.","What do you do with paper?","Education"
"paragraph","n.","A1","段落","Write one paragraph about yourself.","How many sentences are in a paragraph?","Education"
"parent","n.","A1","父母","My parents are teachers.","What do your parents do?","Family"
"park","n., v.","A1","公园；停车","Children play in the park.","Where do you park your car?","Places"
"part","n.","A1","部分","This is part of the story.","What part of the day do you like?","Grammar"
"partner","n.","A1","伙伴；搭档","Work with your partner.","Who is your study partner?","Family"
"party","n.","A1","聚会","I'm going to a birthday party.","What parties do you enjoy?","Daily Life"
"passport","n.","A1","护照","Show me your passport, please.","When do you need a passport?","Transportation"
"past","adj., n., prep.","A1","过去的；经过","In the past, life was different.","What happened in the past?","Time"
"pay","v.","A1","付钱","I pay for my coffee.","How do you pay for things?","Shopping"
"pen","n.","A1","钢笔","I write with a pen.","What color pen do you use?","Education"
"pencil","n.","A1","铅笔","Draw with a pencil first.","When do you use a pencil?","Education"
"people","n.","A1","人们","Many people like music.","What people do you know?","Family"
"pepper","n.","A1","胡椒；辣椒","Add some pepper to the soup.","Do you like black pepper?","Food & Drink"
"perfect","adj.","A1","完美的","The weather is perfect today.","What is perfect in your life?","Emotions"
"period","n.","A1","时期；句号","This is a difficult period.","What period of history interests you?","Time"
"person","n.","A1","人","She is a nice person.","What kind of person are you?","Family"
"personal","adj.","A1","个人的","This is my personal opinion.","What personal things do you have?","Family"
"phone","n., v.","A1","电话；打电话","My phone is ringing.","Who do you phone most often?","Technology"
"photo","n.","A1","照片","I took a photo of my family.","What photos do you have?","Technology"
"photograph","n.","A1","照片；相片","This photograph is very old.","What is your favorite photograph?","Technology"
"phrase","n.","A1","短语","Learn this phrase by heart.","What phrases do you use often?","Education"
"piano","n.","A1","钢琴","I can play the piano.","Do you like piano music?","Education"
"picture","n.","A1","图片；画","Look at this picture.","What pictures are on your wall?","Education"
"piece","n.","A1","片；块","Can I have a piece of cake?","What piece of advice do you need?","Grammar"
"pig","n.","A1","猪","Pigs are intelligent animals.","What do pigs eat?","Animals"
"pink","adj., n.","A1","粉红色的","She likes pink flowers.","What things are pink?","Colors"
"place","n.","A1","地方","This is a beautiful place.","What is your favorite place?","Places"
"plan","n., v.","A1","计划","What's your plan for tomorrow?","How do you plan your day?","Actions"
"plane","n.","A1","飞机","The plane is flying high.","Have you been on a plane?","Transportation"
"plant","n.","A1","植物","This plant needs water.","What plants do you have?","Weather"
"play","v., n.","A1","玩；演奏","Children like to play.","What games do you play?","Sports"
"player","n.","A1","运动员；播放器","He is a good football player.","Who is your favorite player?","Sports"
"please","exclam.","A1","请","Please help me.","When do you say 'please'?","Daily Life"
"point","n.","A1","点；要点","What's the point of this?","Can you point to the answer?","Actions"
"police","n.","A1","警察","The police help people.","When do you call the police?","Work"
"policeman","n.","A1","警察（男）","The policeman is very kind.","What does a policeman do?","Work"
"pool","n.","A1","游泳池","I swim in the pool.","Do you have a pool?","Places"
"poor","adj.","A1","贫穷的；可怜的","The poor man needs help.","What is the opposite of 'poor'?","Emotions"
"popular","adj.","A1","受欢迎的","Pizza is very popular.","What music is popular now?","Emotions"
"positive","adj.","A1","积极的；正面的","Try to be positive.","What positive things happened today?","Emotions"
"possible","adj.","A1","可能的","Is it possible to finish today?","What is possible for you?","Grammar"
"post","n., v.","A1","邮件；邮寄","I received a post today.","What do you post online?","Technology"
"potato","n.","A1","土豆","I like fried potatoes.","How do you cook potatoes?","Food & Drink"
"pound","n.","A1","英镑；磅","This costs five pounds.","What countries use pounds?","Shopping"
"practice","n.","A1","练习；实践","Practice makes perfect.","What needs more practice?","Education"
"practise","v.","A1","练习","I practise piano every day.","What do you practise regularly?","Education"
"prefer","v.","A1","更喜欢","I prefer tea to coffee.","What do you prefer to do?","Emotions"
"prepare","v.","A1","准备","I prepare dinner every evening.","How do you prepare for exams?","Actions"
"present","adj., n.","A1","现在的；礼物","Here's a present for you.","What present do you want?","Daily Life"
"pretty","adj., adv.","A1","漂亮的；相当","She is very pretty.","What do you think is pretty?","Emotions"
"price","n.","A1","价格","What's the price of this book?","What has a high price?","Shopping"
"probably","adv.","A1","可能；大概","I'll probably come tomorrow.","What will probably happen?","Grammar"
"problem","n.","A1","问题；困难","I have a problem.","What problems do you have?","Daily Life"
"product","n.","A1","产品","This is a new product.","What products do you buy?","Shopping"
"programme","n.","A1","节目；程序","I watch this TV programme.","What programmes do you like?","Education"
"project","n.","A1","项目；工程","We're working on a project.","What project are you doing?","Work"
"purple","adj., n.","A1","紫色的","Purple is my favorite color.","What things are purple?","Colors"
"put","v.","A1","放；放置","Put the book on the table.","Where do you put your keys?","Actions"
"quarter","n.","A1","四分之一","It's a quarter past three.","What is a quarter of an hour?","Numbers"
"question","n.","A1","问题","Can I ask a question?","What questions do you have?","Education"
"quick","adj.","A1","快的","This is a quick way.","What can you do quick?","Emotions"
"quickly","adv.","A1","快速地","Please come quickly.","What do you do quickly?","Actions"
"quiet","adj.","A1","安静的","Please be quiet.","When do you need quiet?","Emotions"
"quite","adv.","A1","相当；完全","The food is quite good.","What is quite difficult for you?","Grammar"
"radio","n.","A1","收音机","I listen to the radio.","What do you hear on the radio?","Technology"
"rain","n., v.","A1","雨；下雨","It's going to rain today.","Do you like walking in the rain?","Weather"
"read","v.","A1","读","I read books every night.","What do you like to read?","Education"
"reader","n.","A1","读者","She is a good reader.","Are you a fast reader?","Education"
"reading","n.","A1","阅读","Reading is my hobby.","What reading do you do?","Education"
"ready","adj.","A1","准备好的","Are you ready to go?","When are you ready for school?","Actions"
"real","adj.","A1","真实的","This is a real diamond.","What is real happiness for you?","Emotions"
"really","adv.","A1","真的；非常","I really like this song.","What do you really want?","Emotions"
"reason","n.","A1","原因","What's the reason for this?","What is the reason you study English?","Education"
"red","adj., n.","A1","红色的","I have a red car.","What things are red?","Colors"
"relax","v.","A1","放松","I like to relax at home.","How do you relax?","Actions"
"remember","v.","A1","记住","I remember your name.","What do you remember from childhood?","Actions"
"repeat","v.","A1","重复","Please repeat that.","What do you repeat every day?","Actions"
"report","n.","A1","报告","I wrote a report about animals.","What reports do you write?","Education"
"restaurant","n.","A1","餐厅","This restaurant has good food.","What is your favorite restaurant?","Places"
"result","n.","A1","结果","What was the result of the game?","What results do you expect?","Education"
"return","v., n.","A1","返回","I will return home tomorrow.","When do you return from vacation?","Actions"
"rice","n.","A1","米饭","I eat rice with dinner.","Do you eat rice every day?","Food & Drink"
"rich","adj.","A1","富有的","The rich man has many cars.","What makes someone rich?","Emotions"
"ride","v.","A1","骑；乘坐","I ride my bike to school.","What do you like to ride?","Transportation"
"right","adj., adv., n.","A1","正确的；右边","Turn right at the corner.","What is on your right side?","Position"
"river","n.","A1","河流","The river is very long.","What rivers do you know?","Places"
"road","n.","A1","道路","This road goes to the city.","What road do you live on?","Transportation"
"room","n.","A1","房间","My room is small.","What is in your room?","Home"
"routine","n.","A1","例行公事","I have a morning routine.","What is your daily routine?","Daily Life"
"rule","n.","A1","规则","Follow the school rules.","What rules do you follow?","Daily Life"
"run","v.","A1","跑","I run in the park.","How fast can you run?","Sports"
"sad","adj.","A1","伤心的","I feel sad today.","What makes you sad?","Emotions"
"salad","n.","A1","沙拉","I eat salad for lunch.","What salad do you like?","Food & Drink"
"salt","n.","A1","盐","Add salt to the soup.","Do you use much salt?","Food & Drink"
"same","adj., pron., adv.","A1","相同的","We have the same book.","What is the same about us?","Grammar"
"sandwich","n.","A1","三明治","I made a cheese sandwich.","What sandwich do you like?","Food & Drink"
"Saturday","n.","A1","星期六","I don't work on Saturday.","What do you do on Saturday?","Time"
"say","v.","A1","说","What did you say?","What do you say when you meet someone?","Actions"
"school","n.","A1","学校","I go to school every day.","What do you like about school?","Education"
"science","n.","A1","科学","Science is interesting.","What science subjects do you study?","Education"
"scientist","n.","A1","科学家","The scientist works in a lab.","What do scientists do?","Work"
"sea","n.","A1","海","The sea is blue.","Have you ever seen the sea?","Places"
"second1 (next after the first)","det./number","A1","第二","This is my second cup of coffee.","What comes second in your priorities?","Numbers"
"section","n.","A1","部分；章节","Read section three.","What section of the newspaper do you read?","Education"
"see","v.","A1","看见","I can see the mountain.","What can you see from your window?","Body"
"sell","v.","A1","卖","They sell fresh fruit.","What do you want to sell?","Shopping"
"send","v.","A1","发送","Please send me an email.","What do you send to friends?","Technology"
"sentence","n.","A1","句子","Write a sentence about yourself.","How many words are in this sentence?","Education"
"September","n.","A1","九月","School starts in September.","What happens in September?","Time"
"seven","number","A1","七","I have seven books.","What comes after seven?","Numbers"
"seventeen","number","A1","十七","My sister is seventeen.","What is seventeen minus seven?","Numbers"
"seventy","number","A1","七十","My teacher is seventy years old.","What is seventy divided by seven?","Numbers"
"share","v.","A1","分享","Let's share the pizza.","What do you like to share?","Actions"
"she","pron.","A1","她","She is my friend.","When do you use 'she'?","Grammar"
"sheep","n.","A1","绵羊","Sheep give us wool.","What do sheep eat?","Animals"
"shirt","n.","A1","衬衫","I wear a white shirt.","What color shirt do you like?","Clothing"
"shoe","n.","A1","鞋","I need new shoes.","What shoes do you wear?","Clothing"
"shop","n., v.","A1","商店；购物","I shop for food.","Where do you shop?","Shopping"
"shopping","n.","A1","购物","I go shopping on weekends.","What shopping do you enjoy?","Shopping"
"short","adj.","A1","短的；矮的","She has short hair.","What is the opposite of 'short'?","Body"
"should","modal v.","A1","应该","You should study hard.","What should you do today?","Grammar"
"show","v., n.","A1","显示；表演","Show me your photo.","What TV show do you watch?","Actions"
"shower","n.","A1","淋浴","I take a shower every morning.","How long is your shower?","Home"
"sick","adj.","A1","生病的","I feel sick today.","What do you do when you're sick?","Body"
"similar","adj.","A1","相似的","Our houses are similar.","What is similar about twins?","Grammar"
"sing","v.","A1","唱歌","I like to sing in the shower.","What songs do you sing?","Education"
"singer","n.","A1","歌手","She is a famous singer.","Who is your favorite singer?","Work"
"sister","n.","A1","姐妹","My sister is younger than me.","Do you have a sister?","Family"
"sit","v.","A1","坐","Please sit down.","Where do you like to sit?","Actions"
"situation","n.","A1","情况","This is a difficult situation.","What situation makes you nervous?","Daily Life"
"six","number","A1","六","I wake up at six o'clock.","What comes before six?","Numbers"
"sixteen","number","A1","十六","I learned to drive at sixteen.","What is sixteen plus four?","Numbers"
"sixty","number","A1","六十","My father is sixty years old.","What is sixty minus ten?","Numbers"
"skill","n.","A1","技能","Reading is an important skill.","What skill do you want to learn?","Education"
"skirt","n.","A1","裙子","She wears a long skirt.","Do you prefer skirts or pants?","Clothing"
"sleep","v.","A1","睡觉","I sleep eight hours.","What time do you go to sleep?","Body"
