"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt","Theme"
"focus","n.","A2","焦点；专注","I need to focus on my studies.","What helps you maintain focus?","Actions"
"following","adj.","A2","下面的；接下来的","Please read the following instructions.","What following steps are important in cooking?","Grammar"
"foreign","adj.","A2","外国的","I want to learn a foreign language.","What foreign countries interest you?","Places"
"forest","n.","A2","森林","We walked through the forest.","What animals live in forests?","Nature"
"fork","n.","A2","叉子","Use a fork to eat the salad.","When do you use a fork instead of chopsticks?","Food & Drink"
"formal","adj.","A2","正式的","This is a formal dinner.","When do you wear formal clothes?","Descriptions"
"fortunately","adv.","A2","幸运地","Fortunately, nobody was hurt.","What fortunately happened to you recently?","Grammar"
"forward","adv.","A2","向前","Please move forward in line.","What are you looking forward to?","Position"
"free","adj.","A2","免费的；自由的","The concert is free tonight.","What do you do in your free time?","Daily Life"
"fresh","adj.","A2","新鲜的","I love fresh fruit.","What fresh foods do you eat daily?","Food & Drink"
"fridge","n.","A2","冰箱","Put the milk in the fridge.","What's in your fridge right now?","Home"
"frog","n.","A2","青蛙","The frog jumped into the pond.","Where do you usually see frogs?","Animals"
"fun","n.","A2","乐趣","Learning can be fun.","What do you do for fun on weekends?","Emotions"
"furniture","n.","A2","家具","We bought new furniture yesterday.","What furniture do you need most?","Home"
"further","adv.","A2","更远；进一步","I can't walk any further.","What would you like to study further?","Position"
"future","n.","A2","未来","I'm excited about the future.","What do you hope for in the future?","Time"
"gallery","n.","A2","画廊","We visited an art gallery.","What type of gallery would you like to visit?","Creative Arts"
"gap","n.","A2","缺口；差距","There's a gap between the buildings.","What gap exists in your knowledge?","Position"
"gas","n.","A2","天然气；汽油","The car needs more gas.","How do you save gas when driving?","Transportation"
"gate","n.","A2","大门","Close the gate behind you.","What's behind the gate of your home?","Home"
"general","adj.","A2","一般的；普通的","In general, I like vegetables.","What general advice would you give students?","Descriptions"
"gift","n.","A2","礼物","Thank you for the birthday gift.","What's the best gift you've ever received?","Daily Life"
"goal","n.","A2","目标","My goal is to speak fluent English.","What's your biggest goal this year?","Daily Life"
"god","n.","A2","神；上帝","Many people believe in God.","What do different cultures think about god?","Daily Life"
"gold","n.","A2","黄金","This ring is made of gold.","What would you do if you found gold?","Colors"
"golf","n.","A2","高尔夫球","My father plays golf every weekend.","What do you think about golf as a sport?","Sports"
"good","adj.","A2","好的","This is a very good book.","What makes a good teacher?","Descriptions"
"government","n.","A2","政府","The government made new laws.","What should governments focus on most?","Daily Life"
"grass","n.","A2","草","The grass is very green.","When do you walk on grass?","Nature"
"greet","v.","A2","问候","Always greet your neighbors politely.","How do you greet people in your culture?","Communication"
"ground","n.","A2","地面","The ball fell to the ground.","What do you find on the ground in parks?","Position"
"guest","n.","A2","客人","We have guests coming tonight.","How do you prepare for guests?","Daily Life"
"guide","n.","A2","导游；指南","The tour guide was very helpful.","What would you like a guide for?","Travel"
"gun","n.","A2","枪","Police officers carry guns.","What do you think about gun laws?","Daily Life"
"guy","n.","A2","家伙（非正式）","He's a really nice guy.","What makes a guy interesting to talk to?","Family"
"habit","n.","A2","习惯","Reading before bed is my habit.","What good habit would you like to develop?","Daily Life"
"half","n.","A2","一半","I ate half of the pizza.","What do you do in the first half of the day?","Numbers"
"hall","n.","A2","大厅","The meeting is in the main hall.","What activities happen in school halls?","Places"
"happily","adv.","A2","快乐地","They lived happily together.","What makes you live happily?","Emotions"
"have","v.","A2","有","I have two cats.","What do you have that makes you proud?","Grammar"
"headache","n.","A2","头痛","I have a terrible headache.","What usually gives you a headache?","Body"
"heart","n.","A2","心脏；心","Exercise is good for your heart.","What touches your heart most deeply?","Body"
"heat","n.","A2","热量","The heat in summer is unbearable.","How do you deal with extreme heat?","Weather"
"heavy","adj.","A2","重的","This bag is too heavy to carry.","What's the heaviest thing you've lifted?","Descriptions"
"height","n.","A2","高度","What's your height?","Are you comfortable with your height?","Measurements"
"helpful","adj.","A2","有帮助的","The staff here are very helpful.","When were you most helpful to someone?","Descriptions"
"hero","n.","A2","英雄","My father is my hero.","Who is your hero and why?","Family"
"hers","pron.","A2","她的","This book is hers.","When do you use 'hers' instead of 'her'?","Grammar"
"herself","pron.","A2","她自己","She made dinner by herself.","What does your mother do by herself?","Grammar"
"hide","v.","A2","隐藏","The children like to hide behind trees.","Where did you hide things as a child?","Actions"
"high","adj.","A2","高的","The mountain is very high.","What high places have you visited?","Descriptions"
"hill","n.","A2","小山","We climbed up the hill.","What can you see from a hill?","Places"
"himself","pron.","A2","他自己","He cooked dinner by himself.","What does your father do by himself?","Grammar"
"his","det.","A2","他的","This is his car.","What belongs to his family?","Grammar"
"hit","v.","A2","击打","Don't hit your brother!","What do you hit when you're angry?","Actions"
"hockey","n.","A2","曲棍球","Ice hockey is popular in Canada.","What do you know about hockey?","Sports"
"hold","v.","A2","握住；举行","Hold my hand tightly.","What do you like to hold?","Actions"
"hole","n.","A2","洞","There's a hole in my sock.","What causes holes in clothes?","Descriptions"
"home","n.","A2","家","I miss my home.","What makes a house feel like home?","Home"
"hope","v.","A2","希望","I hope you feel better soon.","What do you hope will happen tomorrow?","Emotions"
"huge","adj.","A2","巨大的","The elephant is huge.","What's the most huge thing you've seen?","Descriptions"
"human","n.","A2","人类","Humans need water to survive.","What makes humans different from animals?","Family"
"hurt","v.","A2","受伤；伤害","My arm hurts from yesterday's game.","What hurts your feelings most?","Body"
"ideal","adj.","A2","理想的","This is the ideal job for me.","What's your ideal vacation?","Descriptions"
"identify","v.","A2","识别；确认","Can you identify this bird?","How do you identify good quality food?","Actions"
"ill","adj.","A2","生病的","She's been ill for three days.","What do you do when you feel ill?","Body"
"illness","n.","A2","疾病","He's recovering from his illness.","What illness worries you most?","Body"
"image","n.","A2","图像；形象","This image is very clear.","What image represents your country?","Technology"
"immediately","adv.","A2","立即","Please come here immediately.","What should you do immediately in an emergency?","Time"
"impossible","adj.","A2","不可能的","It's impossible to learn everything.","What seemed impossible but you achieved it?","Descriptions"
"included","adj.","A2","包括的","Breakfast is included in the price.","What's included in your monthly expenses?","Grammar"
"including","prep.","A2","包括","Everyone came, including my boss.","What skills are you learning, including languages?","Grammar"
"increase","v.","A2","增加","Prices continue to increase.","What would you like to increase in your life?","Actions"
"incredible","adj.","A2","难以置信的","The view from here is incredible.","What incredible experience have you had?","Emotions"
"independent","adj.","A2","独立的","She's very independent for her age.","When did you become independent?","Descriptions"
"individual","n.","A2","个人","Each individual has different needs.","What makes you unique as an individual?","Family"
"industry","n.","A2","工业；行业","The car industry is changing rapidly.","What industry would you like to work in?","Work"
"informal","adj.","A2","非正式的","This is an informal meeting.","When do you prefer informal situations?","Descriptions"
"injury","n.","A2","伤害","He has a serious leg injury.","What injury have you had from sports?","Body"
"insect","n.","A2","昆虫","Bees are useful insects.","What insects do you see in your garden?","Animals"
"inside","adv.","A2","在里面","It's warm inside the house.","What's inside your bag right now?","Position"
"instead","adv.","A2","代替","Let's walk instead of driving.","What do you choose instead of watching TV?","Grammar"
"instruction","n.","A2","指示；说明","Follow the instructions carefully.","What instructions are difficult to understand?","Communication"
"instructor","n.","A2","教练；指导员","The swimming instructor is very patient.","What makes a good instructor?","Work"
"instrument","n.","A2","乐器；仪器","I play a musical instrument.","What instrument would you like to learn?","Creative Arts"
"intelligent","adj.","A2","聪明的","She's a very intelligent student.","What shows that someone is intelligent?","Descriptions"
"international","adj.","A2","国际的","English is an international language.","What international events do you follow?","Places"
"introduction","n.","A2","介绍","Let me make a brief introduction.","What makes a good introduction in a presentation?","Communication"
"invent","v.","A2","发明","Who invented the telephone?","What would you like to invent?","Actions"
"invention","n.","A2","发明","The internet is a great invention.","What invention changed your life most?","Technology"
"invitation","n.","A2","邀请","I received a wedding invitation.","What invitation are you excited about?","Daily Life"
"invite","v.","A2","邀请","Would you like to invite them to dinner?","Who would you invite to your birthday party?","Actions"
"involve","v.","A2","涉及；包含","This job involves a lot of travel.","What activities involve teamwork?","Actions"
"item","n.","A2","物品","Each item costs five dollars.","What's the most expensive item you own?","Shopping"
"itself","pron.","A2","它自己","The door closes by itself.","What problems solve themselves over time?","Grammar"
"jam","n.","A2","果酱","I love strawberry jam on toast.","What jam do you prefer for breakfast?","Food & Drink"
"jazz","n.","A2","爵士乐","My grandfather loves jazz music.","What do you think about jazz?","Creative Arts"
"jewellery","n.","A2","珠宝","She wears beautiful jewellery.","What jewellery do you wear daily?","Clothing"
"joke","n.","A2","笑话","That was a funny joke!","What makes a good joke?","Daily Life"
"journalist","n.","A2","记者","The journalist interviewed the mayor.","What questions would you ask as a journalist?","Work"
"jump","v.","A2","跳","The cat can jump very high.","What makes you want to jump for joy?","Actions"
"kid","n.","A2","孩子（非正式）","The kids are playing in the park.","What did you love doing as a kid?","Family"
"kill","v.","A2","杀死","Don't kill the spider, it's harmless.","What kills plants in your garden?","Actions"
"king","n.","A2","国王","The king ruled for thirty years.","What makes a good king or leader?","Work"
"knee","n.","A2","膝盖","I hurt my knee playing football.","What do you do when your knee hurts?","Body"
"knife","n.","A2","刀","Be careful with that sharp knife.","What do you use a knife for besides cutting food?","Food & Drink"
"knock","v.","A2","敲门；撞击","Please knock before entering.","What do you do when someone knocks?","Actions"
"knowledge","n.","A2","知识","Knowledge is power.","What knowledge do you want to gain?","Education"
"lab","n.","A2","实验室","We did experiments in the science lab.","What happens in a language lab?","Education"
"lady","n.","A2","女士","The old lady needs help crossing.","What makes someone a true lady?","Family"
"lake","n.","A2","湖","We went swimming in the lake.","What activities can you do at a lake?","Places"
"lamp","n.","A2","灯","Turn on the desk lamp.","What type of lamp do you prefer for reading?","Home"
"land","n.","A2","土地；陆地","This land belongs to my family.","What would you do with a piece of land?","Places"
"laptop","n.","A2","笔记本电脑","I work on my laptop every day.","What do you use your laptop for most?","Technology"
"last1","adj.","A2","最后的","This is my last chance.","What was the last movie you watched?","Time"
"later","adv.","A2","稍后","I'll call you later tonight.","What do you usually do later in the evening?","Time"
"laughter","n.","A2","笑声","The room was filled with laughter.","What brings laughter to your life?","Emotions"
"law","n.","A2","法律","Everyone must follow the law.","What law do you think should be changed?","Daily Life"
"lawyer","n.","A2","律师","She's studying to become a lawyer.","What makes a good lawyer?","Work"
"lazy","adj.","A2","懒惰的","I feel lazy on Sunday mornings.","When do you feel most lazy?","Emotions"
"lead1","v.","A2","领导；引导","She will lead the team to victory.","What qualities help someone lead others?","Actions"
"leader","n.","A2","领导者","He's a natural leader.","What leader do you admire most?","Work"
"learning","n.","A2","学习","Learning English takes time.","What makes learning enjoyable for you?","Education"
"least","adv.","A2","最少","At least try to finish your homework.","What do you worry about least?","Grammar"
"lecture","n.","A2","讲座","The professor gave an interesting lecture.","What lecture topic would interest you?","Education"
"lemon","n.","A2","柠檬","Add some lemon to the tea.","What do you use lemons for?","Food & Drink"
"lend","v.","A2","借出","Can you lend me your pen?","What do you never lend to others?","Actions"
"less","adv.","A2","更少","I eat less sugar now.","What would you like to do less of?","Grammar"
"level","n.","A2","水平；层次","What's your English level?","At what level do you play sports?","Education"
"lifestyle","n.","A2","生活方式","He has a healthy lifestyle.","What would you change about your lifestyle?","Daily Life"
"lift","n.","A2","电梯","Take the lift to the third floor.","When do you use the lift instead of stairs?","Transportation"
"light","n.","A2","光；灯","Turn off the light when you leave.","What kind of light do you prefer for studying?","Home"
"likely","adj.","A2","可能的","It's likely to rain tomorrow.","What's likely to happen in your future?","Descriptions"
"link","n.","A2","链接；联系","Click on this link for more information.","What links you to your childhood friends?","Technology"
"listener","n.","A2","听众","She's an excellent listener.","What makes someone a good listener?","Communication"
"little","adj.","A2","小的","We have a little problem here.","What little things make you happy?","Descriptions"
"lock","v.","A2","锁","Don't forget to lock the door.","What do you always lock before leaving home?","Actions"
"look","n.","A2","看；外观","Take a look at this picture.","What look do you prefer for formal events?","Actions"
"lorry","n.","A2","卡车","The lorry is carrying furniture.","What do you see lorries transporting?","Transportation"
"lost","adj.","A2","迷路的；丢失的","I'm completely lost in this city.","When was the last time you felt lost?","Emotions"
"loud","adj.","A2","大声的","The music is too loud.","What sounds are too loud for you?","Descriptions"
"loudly","adv.","A2","大声地","He spoke loudly so everyone could hear.","When do you need to speak loudly?","Communication"
"lovely","adj.","A2","可爱的","What a lovely garden!","What's the most lovely place you've visited?","Descriptions"
"low","adj.","A2","低的","The battery is getting low.","What makes you feel low?","Descriptions"
"luck","n.","A2","运气","I wish you good luck!","What brings you luck?","Emotions"
"lucky","adj.","A2","幸运的","I'm lucky to have great friends.","What makes you feel lucky?","Emotions"
"mail","n.","A2","邮件","Check your mail for important letters.","How often do you check your mail?","Communication"
"major","adj.","A2","主要的","Traffic is a major problem here.","What's a major goal in your life?","Descriptions"
"male","adj.","A2","男性的","The male nurse was very kind.","What male role models do you have?","Family"
"manage","v.","A2","管理；设法做到","I can't manage all this work alone.","How do you manage your time effectively?","Actions"
"manager","n.","A2","经理","The store manager solved our problem.","What makes a good manager?","Work"
"manner","n.","A2","方式；举止","He spoke in a polite manner.","What manner of speaking do you prefer?","Communication"
"mark","n.","A2","分数；记号","I got a good mark on the test.","What mark would you give your English progress?","Education"
"marry","v.","A2","结婚","When did they marry?","What age is good to marry?","Family"
"material","n.","A2","材料","This shirt is made of cotton material.","What materials are used in your home?","Daily Life"
"mathematics","n.","A2","数学","Mathematics is challenging but useful.","How do you use mathematics in daily life?","Education"
"maths","n.","A2","数学（简称）","I need help with my maths homework.","What part of maths do you find difficult?","Education"
"matter","n.","A2","事情；物质","This is a serious matter.","What matters most to you in life?","Daily Life"
"may","v.","A2","可能；可以","You may leave early today.","What may change in your life next year?","Grammar"
"media","n.","A2","媒体","Social media connects people globally.","What media do you use for news?","Technology"
"medical","adj.","A2","医学的","She needs medical attention immediately.","What medical knowledge is important for everyone?","Body"
"medicine","n.","A2","药物；医学","Take this medicine twice daily.","What natural medicine do you believe in?","Body"
"memory","n.","A2","记忆","I have a good memory for faces.","What's your earliest childhood memory?","Body"
"mention","v.","A2","提到","Did I mention I'm moving?","What do you often mention in conversations?","Communication"
"metal","n.","A2","金属","The bike frame is made of metal.","What metal objects do you use daily?","Daily Life"
"method","n.","A2","方法","What's your method for learning vocabulary?","What's the best method to stay healthy?","Education"
"middle","adj.","A2","中间的","Sit in the middle of the room.","What happens in the middle of your day?","Position"
"might","v.","A2","可能","It might snow tonight.","What might you do differently tomorrow?","Grammar"
"mind","n.","A2","头脑；思想","I can't get this song out of my mind.","What's always on your mind?","Body"
"mine","pron.","A2","我的","This book is mine, not yours.","What's mine that you would like to borrow?","Grammar"
"mirror","n.","A2","镜子","Look at yourself in the mirror.","What do you see in the mirror each morning?","Home"
"missing","adj.","A2","缺失的","One button is missing from this shirt.","What's missing from your ideal life?","Descriptions"
"mobile","n.","A2","手机","I left my mobile at home.","How often do you check your mobile?","Technology"
"monkey","n.","A2","猴子","The monkey swings from tree to tree.","What do you know about monkey behavior?","Animals"
"moon","n.","A2","月亮","The full moon is beautiful tonight.","When do you notice the moon most?","Nature"
"mostly","adv.","A2","主要地","I mostly eat vegetables.","What do you mostly do on weekends?","Grammar"
"motorcycle","n.","A2","摩托车","He rides his motorcycle to work.","What do you think about motorcycle safety?","Transportation"
"movement","n.","A2","运动；移动","Dance is a beautiful form of movement.","What movement activities do you enjoy?","Actions"
"musical","adj.","A2","音乐的","She has great musical talent.","What musical instruments interest you?","Creative Arts"
"musician","n.","A2","音乐家","The street musician played beautifully.","What musician inspires you most?","Creative Arts"
"myself","pron.","A2","我自己","I taught myself to play guitar.","What have you taught yourself?","Grammar"
"narrow","adj.","A2","狭窄的","The street is too narrow for cars.","What narrow spaces make you uncomfortable?","Descriptions"
"national","adj.","A2","国家的","English is our national language.","What's your national dish?","Places"
"nature","n.","A2","自然","I love spending time in nature.","What aspect of nature amazes you most?","Nature"
"nearly","adv.","A2","几乎","It's nearly time to go home.","What are you nearly finished with?","Grammar"
"necessary","adj.","A2","必要的","Sleep is necessary for good health.","What's necessary for happiness?","Descriptions"
"neck","n.","A2","脖子","She wore a scarf around her neck.","What do you do when your neck hurts?","Body"
"need","n.","A2","需要","There's a need for more doctors.","What's the greatest need in your community?","Daily Life"
"neither","adv.","A2","两者都不","Neither option sounds good to me.","What would you choose when neither option appeals?","Grammar"
"nervous","adj.","A2","紧张的","I always feel nervous before exams.","What makes you most nervous?","Emotions"
"network","n.","A2","网络","The internet is a global network.","What network do you use for professional contacts?","Technology"
"noise","n.","A2","噪音","The construction noise is annoying.","What noise bothers you most?","Daily Life"
"noisy","adj.","A2","吵闹的","This restaurant is too noisy.","What's the most noisy place you've been?","Descriptions"
"none","pron.","A2","没有一个","None of the answers are correct.","What question has none of the expected answers?","Grammar"
"normal","adj.","A2","正常的","This weather is normal for December.","What's normal behavior in your culture?","Descriptions"
"normally","adv.","A2","通常","I normally wake up at 7 AM.","What do you normally do after work?","Time"
"notice","v.","A2","注意到","Did you notice her new haircut?","What details do you always notice?","Actions"
"novel","n.","A2","小说","I'm reading an interesting novel.","What novel has influenced your thinking?","Creative Arts"
"nowhere","adv.","A2","无处","There's nowhere to park here.","What's something you can find nowhere else?","Position"
"number","n.","A2","数字","Write down your phone number.","What's your lucky number and why?","Numbers"
"nut","n.","A2","坚果","Almonds are my favorite nuts.","What nuts do you eat for health?","Food & Drink"
"ocean","n.","A2","海洋","The Pacific Ocean is huge.","What would you do if you lived by the ocean?","Places"
"offer","v.","A2","提供","Can I offer you some tea?","What do you like to offer guests?","Actions"
"officer","n.","A2","军官；警官","The police officer helped us.","What qualities make a good officer?","Work"
"oil","n.","A2","油","Add some oil to the pan.","What oil do you use for cooking?","Food & Drink"
"onto","prep.","A2","到...上","Jump onto the stage.","What do you like to climb onto?","Position"
"opportunity","n.","A2","机会","This is a great opportunity to learn.","What opportunity would you never miss?","Daily Life"
"option","n.","A2","选择","We have several options available.","What option would you choose for vacation?","Daily Life"
"ordinary","adj.","A2","普通的","It was just an ordinary day.","What makes an ordinary day special?","Descriptions"
"organization","n.","A2","组织","She works for a charity organization.","What organization would you like to support?","Work"
"organize","v.","A2","组织","Who will organize the party?","What event would you like to organize?","Actions"
"original","adj.","A2","原创的","This is an original painting.","What original idea do you have?","Creative Arts"
"ourselves","pron.","A2","我们自己","We painted the house ourselves.","What have you done by ourselves?","Grammar"
"outside","n.","A2","外面","Let's eat outside today.","What do you like about being outside?","Position"
"oven","n.","A2","烤箱","Bake the cake in the oven.","What do you cook in the oven?","Home"
"own","v.","A2","拥有","I don't own a car.","What would you like to own someday?","Daily Life"
"owner","n.","A2","主人；业主","The dog ran back to its owner.","What responsibilities do owners have?","Daily Life"
"pack","v.","A2","打包","Pack your clothes for the trip.","What do you always pack when traveling?","Travel"
"pain","n.","A2","疼痛","I have a pain in my back.","What pain have you learned to live with?","Body"
"painter","n.","A2","画家","The painter finished the portrait.","What painter's work do you admire?","Creative Arts"
"palace","n.","A2","宫殿","The royal palace is magnificent.","What would you do if you lived in a palace?","Places"
"pants","n.","A2","裤子","These pants are too tight.","What style of pants do you prefer?","Clothing"
"parking","n.","A2","停车","Finding parking downtown is difficult.","Where do you usually find parking?","Transportation"
"particular","adj.","A2","特别的","I like this particular song.","What particular food do you crave?","Descriptions"
"pass","v.","A2","通过；传递","Please pass the salt.","What exam do you hope to pass?","Actions"
"passenger","n.","A2","乘客","The train can carry 200 passengers.","What do you do as a passenger on long trips?","Transportation"
"past","n.","A2","过去","Don't worry about the past.","What from your past makes you proud?","Time"
"patient","n.","A2","病人","The doctor examined the patient.","How should we treat patients with respect?","Body"
"pattern","n.","A2","图案；模式","I love the pattern on this dress.","What patterns do you notice in nature?","Descriptions"
"pay","n.","A2","薪水","The job offers good pay.","What would you do for better pay?","Work"
"peace","n.","A2","和平","We all hope for world peace.","What brings you inner peace?","Emotions"
"penny","n.","A2","便士","Every penny counts when saving money.","What would you do for every penny?","Shopping"
"per","prep.","A2","每","The speed limit is 60 miles per hour.","How many hours per day do you study?","Grammar"
"per cent","n.","A2","百分比","Only 20 per cent passed the test.","What per cent of your day is work?","Numbers"
"perform","v.","A2","表演；执行","The band will perform tonight.","What would you like to perform on stage?","Creative Arts"
"perhaps","adv.","A2","也许","Perhaps we should leave early.","What perhaps would make your life better?","Grammar"
"permission","n.","A2","许可","You need permission to enter.","What permission do you need for your goals?","Daily Life"
"personality","n.","A2","个性","She has a wonderful personality.","What personality trait do you most admire?","Descriptions"
"pet","n.","A2","宠物","My pet rabbit loves carrots.","What pet would you choose and why?","Animals"
"petrol","n.","A2","汽油","The car needs more petrol.","How do you save money on petrol?","Transportation"
"photograph","n.","A2","照片","This photograph brings back memories.","What photograph is most precious to you?","Daily Life"
"physical","adj.","A2","身体的","Regular exercise improves physical health.","What physical activity do you enjoy most?","Body"
"physics","n.","A2","物理学","Physics explains how things work.","What physics concept fascinates you?","Education"
"pick","v.","A2","挑选；采摘","Pick your favorite color.","What do you pick when choosing friends?","Actions"
"pilot","n.","A2","飞行员","The pilot landed the plane safely.","What qualities make a good pilot?","Work"
"planet","n.","A2","行星","Earth is our home planet.","What planet would you like to visit?","Places"
"plant","v.","A2","种植","Let's plant flowers in the garden.","What would you like to plant?","Nature"
"plastic","n.","A2","塑料","Try to use less plastic bags.","How do you reduce plastic waste?","Daily Life"
"plate","n.","A2","盘子","Put the food on a clean plate.","What do you eat from a plate versus a bowl?","Food & Drink"
"platform","n.","A2","平台；站台","Wait on platform 3 for the train.","What platform do you use for communication?","Transportation"
"please","v.","A2","取悦","It's hard to please everyone.","What actions please your parents?","Emotions"
"pleased","adj.","A2","高兴的","I'm pleased with your progress.","What achievement makes you most pleased?","Emotions"
"pocket","n.","A2","口袋","Keep your wallet in a safe pocket.","What do you always carry in your pocket?","Clothing"
"polite","adj.","A2","礼貌的","Remember to be polite to strangers.","What polite behavior is important in your culture?","Communication"
"pollution","n.","A2","污染","Air pollution affects our health.","What pollution problems exist in your area?","Nature"
"pop","n.","A2","流行音乐","I enjoy listening to pop music.","What pop songs do you know by heart?","Creative Arts"
"population","n.","A2","人口","The city's population is growing.","What affects population growth in cities?","Places"
"position","n.","A2","位置；职位","She got a new position at work.","What position would you like in a company?","Work"
"possession","n.","A2","财产","All his possessions fit in one bag.","What possession means most to you?","Daily Life"
"possibility","n.","A2","可能性","There's a possibility of rain today.","What possibility excites you most?","Descriptions"
"poster","n.","A2","海报","The movie poster looks exciting.","What poster hangs in your room?","Creative Arts"
"pot","n.","A2","锅","Cook the soup in a large pot.","What do you cook in a pot?","Home"
"pound","n.","A2","磅","The bag weighs five pounds.","What do you measure in pounds?","Numbers"
"power","n.","A2","力量；电力","Knowledge gives you power.","What power would you use for good?","Technology"
"predict","v.","A2","预测","It's hard to predict the weather.","What do you predict for the future?","Actions"
"present","v.","A2","呈现；介绍","Let me present our new project.","What would you like to present to the world?","Communication"
"president","n.","A2","总统","The president gave a speech.","What qualities should a president have?","Work"
"prevent","v.","A2","预防","Eating well can prevent illness.","What do you do to prevent stress?","Health"
"print","v.","A2","打印","Please print two copies of this.","What do you need to print regularly?","Technology"
"printer","n.","A2","打印机","The printer is out of ink.","What problems do you have with printers?","Technology"
"prison","n.","A2","监狱","He was sent to prison for theft.","What would prevent people from going to prison?","Places"
"prize","n.","A2","奖品","She won first prize in the contest.","What prize would motivate you most?","Education"
"process","n.","A2","过程","Learning is a gradual process.","What process do you find most challenging?","Actions"
"produce","v.","A2","生产","This factory produces cars.","What does your region produce?","Work"
"professional","adj.","A2","专业的","He gave very professional advice.","What professional skills do you want to develop?","Work"
"professor","n.","A2","教授","The professor teaches history.","What subject would you like to be a professor of?","Education"
"profile","n.","A2","简介；轮廓","Update your social media profile.","What information do you include in your profile?","Technology"
"program","n.","A2","程序；项目","This TV program is very popular.","What program helps you learn English?","Technology"
"progress","n.","A2","进步","You're making good progress!","What progress are you most proud of?","Education"
"promise","v.","A2","承诺","I promise to help you.","What promise is important to keep?","Communication"
"pronounce","v.","A2","发音","How do you pronounce this word?","What words are difficult to pronounce?","Education"
"protect","v.","A2","保护","We must protect the environment.","What do you want to protect most?","Actions"
"provide","v.","A2","提供","Schools provide education for children.","What services do libraries provide?","Actions"
"pub","n.","A2","酒吧","Let's meet at the local pub.","What do people do in pubs?","Places"
"public","adj.","A2","公共的","The park is open to the public.","What public services do you use?","Descriptions"
"publish","v.","A2","出版","The company will publish her book.","What would you like to publish?","Creative Arts"
"pull","v.","A2","拉","Pull the door to open it.","What do you need to pull to operate?","Actions"
"purpose","n.","A2","目的","What's the purpose of this meeting?","What purpose drives your daily actions?","Daily Life"
"push","v.","A2","推","Push the button to start.","What situations push you to work harder?","Actions"
"quality","n.","A2","质量","This product has excellent quality.","What quality do you value in friends?","Descriptions"
"quantity","n.","A2","数量","The quantity of food was enormous.","What's more important: quality or quantity?","Numbers"
"queen","n.","A2","女王","The queen visited our city.","What qualities should a queen have?","Work"
"question","n.","A2","问题","Do you have any questions?","What question do you ask yourself often?","Communication"
"quietly","adv.","A2","安静地","Please speak quietly in the library.","When do you prefer to work quietly?","Grammar"
"race","n.","A2","比赛；种族","Who won the race?","What race would you like to participate in?","Sports"
"railway","n.","A2","铁路","The railway connects major cities.","How important is railway transport in your area?","Transportation"
"raise","v.","A2","举起；抚养","Raise your hand if you agree.","What issues would you like to raise?","Actions"
"rate","n.","A2","比率；速度","The success rate is very high.","At what rate do you learn new things?","Numbers"
"rather","adv.","A2","相当；宁愿","I'd rather stay home tonight.","What would you rather do than work?","Grammar"
"reach","v.","A2","到达；够到","Can you reach that shelf?","What goal do you hope to reach?","Actions"
"react","v.","A2","反应","How did you react to the news?","What situations make you react strongly?","Emotions"
"realize","v.","A2","意识到","I didn't realize you were here.","What important thing did you recently realize?","Actions"
"receive","v.","A2","收到","Did you receive my message?","What do you like to receive on birthdays?","Communication"
"recent","adj.","A2","最近的","Have you seen any recent movies?","What recent change has affected you?","Time"
"recently","adv.","A2","最近","I started learning Spanish recently.","What have you started recently?","Time"
"reception","n.","A2","接待；接收","The hotel reception is downstairs.","What makes good customer reception?","Work"
"recipe","n.","A2","食谱","This cake recipe is delicious.","What recipe would you like to learn?","Food & Drink"
"recognize","v.","A2","认出","I didn't recognize you with short hair.","What helps you recognize people easily?","Actions"
"recommend","v.","A2","推荐","Can you recommend a good restaurant?","What book would you recommend to friends?","Communication"
"record","v.","A2","记录；录制","Please record this conversation.","What memories do you like to record?","Technology"
"recording","n.","A2","录音","Listen to this recording carefully.","What type of recording do you make?","Technology"
"recycle","v.","A2","回收利用","We should recycle plastic bottles.","What materials do you recycle at home?","Nature"
"reduce","v.","A2","减少","We need to reduce plastic waste.","What would you like to reduce in your life?","Actions"
"refer","v.","A2","提到；参考","Please refer to page 10.","What book do you often refer to?","Communication"
"refuse1","v.","A2","拒绝","I refuse to give up.","What offers do you typically refuse?","Communication"
"region","n.","A2","地区","This region is famous for wine.","What's special about your region?","Places"
"regular","adj.","A2","定期的；常规的","I go to the gym on a regular basis.","What regular activities keep you healthy?","Descriptions"
"relationship","n.","A2","关系","They have a strong relationship.","What makes a good relationship?","Family"
"remove","v.","A2","移除","Please remove your shoes.","What would you like to remove from your daily routine?","Actions"
"repair","v.","A2","修理","Can you repair my bicycle?","What things can you repair yourself?","Actions"
"replace","v.","A2","替换","We need to replace the old computer.","What in your home needs to be replaced?","Actions"
"reply","v.","A2","回复","Please reply to my email.","How quickly do you reply to messages?","Communication"
"report","v.","A2","报告","The news will report on the event.","What would you like to report about your community?","Communication"
"reporter","n.","A2","记者","The reporter asked tough questions.","What questions would you ask as a reporter?","Work"
"request","n.","A2","请求","I have a special request.","What request do you make most often?","Communication"
"research","n.","A2","研究","The research shows interesting results.","What topic would you like to research?","Education"
"researcher","n.","A2","研究员","The researcher published important findings.","What field would you work in as a researcher?","Work"
